t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_obstacles,number_of_active_edges
19.46507560001919,0.010146300017368048,1,MIQP_OPTIMAL,2,1,4
19.56499260000419,0.007735299994237721,1,MIQP_OPTIMAL,2,1,4
19.665115900017554,0.007314199989195913,1,MIQP_OPTIMAL,2,1,4
19.731547000003047,0.007859500008635223,1,MIQP_OPTIMAL,2,1,4
19.831629699998302,0.023826000018743798,1,MIQP_OPTIMAL,2,1,4
19.931585900019854,0.024543300009099767,1,MIQP_OPTIMAL,2,1,4
20.031617800006643,0.0302512000198476,1,MIQP_OPTIMAL,2,1,4
20.131604700000025,0.021645500004524365,1,MIQP_OPTIMAL,2,1,4
20.23159000001033,0.015335200005210936,1,MIQP_OPTIMAL,2,1,4
20.33160730000236,0.009332799992989749,1,MIQP_OPTIMAL,2,1,4
20.398237000015797,0.010897700005443767,1,MIQP_OPTIMAL,2,1,4
20.498311900009867,0.009680999995907769,1,MIQP_OPTIMAL,2,1,4
20.598244599997997,0.00699170000734739,1,MIQP_OPTIMAL,2,0,0
20.665251800004626,0.00855339999543503,1,MIQP_OPTIMAL,2,0,0
20.765124800003832,0.006166600011056289,1,MIQP_OPTIMAL,2,0,0
20.83159810001962,0.007123400020645931,1,MIQP_OPTIMAL,2,0,0
20.931628200021805,0.00708059998578392,1,MIQP_OPTIMAL,2,0,0
21.03159220001544,0.008101799990981817,1,MIQP_OPTIMAL,2,0,0
21.131689000001643,0.00887330001569353,1,MIQP_OPTIMAL,2,0,0
21.23165160001372,0.007571099995402619,1,MIQP_OPTIMAL,2,0,0
21.33161170000676,0.006700500001898035,1,MIQP_OPTIMAL,2,0,0
21.398238699999638,0.006473999994341284,1,MIQP_OPTIMAL,2,0,0
21.465127000003122,0.006736200011800975,1,MIQP_OPTIMAL,2,0,0
21.53158490001806,0.006648300011875108,1,MIQP_OPTIMAL,2,0,0
21.59827069999301,0.009084599994821474,1,MIQP_OPTIMAL,2,0,0
21.698277899995446,0.00661529999342747,1,MIQP_OPTIMAL,2,0,0
21.76512470000307,0.008674000011524186,1,MIQP_OPTIMAL,2,0,0
21.83163760000025,0.0067048000055365264,1,MIQP_OPTIMAL,2,0,0
21.898236000008183,0.006842200004030019,1,MIQP_OPTIMAL,2,0,0
21.9650290000136,0.007090099999913946,1,MIQP_OPTIMAL,2,0,0
22.031660000007832,0.00817399998777546,1,MIQP_OPTIMAL,2,0,0
22.131603000016185,0.007642300013685599,1,MIQP_OPTIMAL,2,0,0
22.198276000010082,0.006513300002552569,1,MIQP_OPTIMAL,2,0,0
22.265137500013225,0.0076360999955795705,1,MIQP_OPTIMAL,2,0,0
22.36503580000135,0.006941900006495416,1,MIQP_OPTIMAL,2,0,0
22.431593500019517,0.007533999974839389,1,MIQP_OPTIMAL,2,0,0
22.531598800007487,0.006921100022736937,1,MIQP_OPTIMAL,2,0,0
22.598247100017034,0.006580800021765754,1,MIQP_OPTIMAL,2,0,0
22.66510450001806,0.007896499999333173,1,MIQP_OPTIMAL,2,0,0
22.73167380000814,0.00774279999313876,1,MIQP_OPTIMAL,2,0,0
22.798280699993484,0.006102799990912899,1,MIQP_OPTIMAL,2,0,0
22.865120500006014,0.00727920001372695,1,MIQP_OPTIMAL,2,0,0
22.931617900001584,0.00602130001061596,1,MIQP_OPTIMAL,2,0,0
22.9982730000047,0.007434200000716373,1,MIQP_OPTIMAL,2,0,0
23.065027300006477,0.00709239998832345,1,MIQP_OPTIMAL,2,0,0
23.13158139999723,0.007477400009520352,1,MIQP_OPTIMAL,2,0,0
23.231709100014996,0.00636060000397265,1,MIQP_OPTIMAL,2,0,0
23.298241100012092,0.007730299985269085,1,MIQP_OPTIMAL,2,0,0
23.398342800006503,0.006262199982302263,1,MIQP_OPTIMAL,2,0,0
23.465125699993223,0.008322299981955439,1,MIQP_OPTIMAL,2,0,0
23.564999199996237,0.008905100025003776,1,MIQP_OPTIMAL,2,0,0
23.665009599993937,0.008856600004946813,1,MIQP_OPTIMAL,2,0,0
23.765119100018637,0.006593500002054498,1,MIQP_OPTIMAL,2,0,0
23.831611100002192,0.007197900005849078,1,MIQP_OPTIMAL,2,0,0
23.898274000006495,0.006602600013138726,1,MIQP_OPTIMAL,2,0,0
23.965194799995515,0.007484900008421391,1,MIQP_OPTIMAL,2,0,0
24.031644600006985,0.00765250000404194,1,MIQP_OPTIMAL,2,0,0
24.098320000019157,0.006913799996254966,1,MIQP_OPTIMAL,2,0,0
